,OID_,id,gid,Latitude,Longitude,area_or_ams_map,twn_rng_sec,county,state,tect_prov,location_notes,meas_date,drill_date,collar_elevation,drill_depth,water_table,surf_temp,min_temp,max_temp,bot_temp,interval_id,depth,bottom,geoth_grad,geoth_grad_sym,geoth_grad_std_err,cgeoth_grad,cgeoth_grad_sym,cgeoth_grad_std_err,GeothermGrad,smu_id,Latitude0,Longitude0
52,1033,8c9774a2-19aa-3e9b-be12-90c623924667,NM-06048,35.3046616,-106.4493825,Albuquerque,13N/5E-31,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/17/1980 0:00:00,,1805.0,50.0,18.2,14.5,14.6,,14.92,a,20.0,50.0,9.7,,,,,,9.7,SMU 100562,35.3046616,-106.4493825
53,993,bf680bc7-521a-32fd-a9ff-c54bb0d07147,NM-00639,35.3000631,-106.1672743,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,2218.0,,,,,,,a,370.0,420.0,22.0,,,22.0,,,22.0,SMU 100634,35.3000631,-106.1672743
54,606,c70039d6-cffb-3f34-909f-683d78f8e0ae,NM-00186,35.3000627,-106.2505767,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,1920.0,,,,,,,d,170.0,260.0,36.6,,,36.6,,,36.6,SMU 100708,35.3000627,-106.2505767
55,711,4687f8a9-1bcc-3480-b54f-53c62f889eb0,NM-00673,35.3000613,-106.5505854,ALBUQUERQUE AMS,,,NM,SOUTHERN ROCKY MTNS.,,,,,31.0,,,,17.21,16.5,a,16.0,31.0,0.0,I,,,,,0.0,SMU 1579,35.3000613,-106.5505854
56,1073,ba830a10-8efb-3d32-a158-1d6be3c220af,NM-06187,35.2910582,-107.2061043,,1N/3W-22,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/22/1980 0:00:00,,1808.0,110.0,,,19.0,,19.07,a,70.0,90.0,3.5,,,,,,3.5,SMU 100562,35.2910582,-107.2061043
57,1031,93143f25-d43e-343d-a2e1-3fbbbb44bce9,NM-06043,35.2842637,-106.1223729,Albuquerque,12N/8E-7,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/15/1980 0:00:00,,2017.0,73.04999999999998,65.9,12.3,12.98,,14.56,a,20.0,50.0,36.3,,,,,,36.3,SMU 100562,35.2842637,-106.1223729
58,854,ae2e53a8-d6cb-31f9-8904-7ef126c6281e,NM-00118,35.2833582,-107.2506055,ALBUQUERQUE AMS,,,NM,COLORADO PLATEAU,,,,2120.0,,,,,,,a,70.0,130.0,52.0,,,52.0,,,52.0,SMU 100708,35.2833582,-107.2506055
59,1029,2997e779-2a5e-3060-a886-2c6581b1e933,NM-06042,35.2701639,-106.1432734,Albuquerque,12N/7E-13,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/15/1980 0:00:00,,2100.0,39.0,,11.4,11.52,,11.65,a,27.0,39.0,10.8,,,,,,10.8,SMU 100562,35.2701639,-106.1432734
60,65,31a1a9a9-a7bd-314b-aa4b-44445d897d39,NM-00279,35.2700515,-108.6006442,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/1/1980 0:00:00,,,34.1,,,,15.96,11.66,a,0.0,34.1,0.0,I,,,,,0.0,SMU 1609,35.2700515,-108.6006442
61,844,15154eff-3a1c-3b11-88ce-9eb451c6583d,NM-00097,35.2700513,-108.6306451,GALLUP AMS,,,NM,COLORADO PLATEAU,,,,,,,,,,,a,17.0,34.0,33.5,,,33.5,,,33.5,SMU 100685,35.2700513,-108.6306451
62,417,cdbb5417-178c-383b-bd94-b43716f577ba,NM-00540,35.2667637,-106.200575,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,2037.0,,,,,,,a,150.0,250.0,18.8,,,18.8,,,18.8,SMU 100634,35.2667637,-106.200575
63,876,7d81d985-3077-36ce-9a28-820c2657a1ae,NM-00190,35.2500641,-106.1838744,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,2160.0,,,,,,,c,80.0,160.0,23.0,,,23.0,,,23.0,SMU 100708,35.2500641,-106.1838744
64,856,115b3c73-eb71-36a2-a572-9af52c267805,NM-00119,35.2500591,-107.2173043,ALBUQUERQUE AMS,,,NM,COLORADO PLATEAU,,,,1970.0,,,,,,,c,130.0,180.0,33.9,,,33.9,,,33.9,SMU 100708,35.2500591,-107.2173043
65,116,e710263b-db69-31ae-8c1a-d0d4c3360af4,NM-00494,35.2500552,-107.9839264,ALBUQUERQUE AMS,,,NM,COLORADO PLATEAU,,,,2195.0,,,,,,,a,20.0,110.0,18.9,,,18.9,,,18.9,SMU 100634,35.2500552,-107.9839264
66,913,59ca875d-0ea3-37e3-b1f2-c2a7598658b7,NM-00276,35.2400512,-108.7706488,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/1/1980 0:00:00,,,132.3,,,,15.8,15.8,a,105.2,132.3,27.0,,,,,,27.0,SMU 1609,35.2400512,-108.7706488
67,845,525ad6ba-a770-3c1d-8057-bb136d808ae4,NM-00098,35.2300524,-108.6006439,GALLUP AMS,,,NM,COLORADO PLATEAU,,,,,,,,,,,a,24.0,45.0,49.8,,,49.8,,,49.8,SMU 100685,35.2300524,-108.6006439
68,326,7ebb5c2b-ec4b-350d-aac2-5b51ac61a2ad,NM-00173,35.2167608,-107.0172983,ALBUQUERQUE AMS,,,NM,COLORADO PLATEAU,,,,1740.0,,,,,,,d,180.0,210.0,75.2,,,75.2,,,75.2,SMU 100708,35.2167608,-107.0172983
69,549,ec6aa259-e1a0-3e77-af42-7fc5575b51cb,NM-00016,35.2167593,-107.3173069,ALBUQUERQUE AMS,,,NM,COLORADO PLATEAU,,,,1870.0,,,,,,,c,210.0,260.0,50.5,,,50.5,,,50.5,SMU 100708,35.2167593,-107.3173069
70,597,55d29f5a-ba1b-3f0a-afad-4e7d13c5d1f1,NM-00174,35.2000612,-107.0172982,ALBUQUERQUE AMS,,,NM,COLORADO PLATEAU,,,,1750.0,,,,,,,c,160.0,190.0,55.8,,,55.8,,,55.8,SMU 100708,35.2000612,-107.0172982
71,600,dfd01e57-0cd8-302b-97b5-56b648a2ad40,NM-00175,35.2000608,-107.0839001,ALBUQUERQUE AMS,,,NM,COLORADO PLATEAU,,,,1830.0,,,,,,,d,150.0,170.0,60.0,,,60.0,,,60.0,SMU 100708,35.2000608,-107.0839001
72,552,2905e6b3-dbc9-32b2-a008-b10146344e83,NM-00017,35.2000597,-107.3173068,ALBUQUERQUE AMS,,,NM,COLORADO PLATEAU,,,,1910.0,,,,,,,a,90.0,140.0,28.3,,,28.3,,,28.3,SMU 100708,35.2000597,-107.3173068
73,449,f432127f-ef29-3599-9183-29d8da6b7ed4,NM-06035,35.1746551,-108.3189354,Gallup,11N/14W-21,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/11/1980 0:00:00,,2567.0,36.0,36.0,8.18,8.2,,8.55,a,20.0,36.0,21.9,,,,,,21.9,SMU 100562,35.1746551,-108.3189354
74,1037,15392917-308f-36f3-8074-59cfbf259e28,NM-06052,35.1618666,-106.0636703,Albuquerque,11N/8E-23,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/16/1980 0:00:00,,1938.0,30.1,20.0,8.2,12.95,,13.4,a,20.0,26.0,58.3,,,,,,58.3,SMU 100562,35.1618666,-106.0636703
75,637,57112463-13f1-3d68-b1fd-029266688703,NM-00270,35.1600533,-108.7106465,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/24/1974 0:00:00,,,67.4,,,,15.32,13.71,a,24.4,67.4,22.0,,,,,,22.0,SMU 1609,35.1600533,-108.7106465
76,11,56afe385-8b98-3ea1-b069-49d624c442b3,NM-00082,35.1500659,-106.2672761,ALBUQUERQUE AMS,,,NM,BASIN AND RANGE,,,,2090.0,,,,,,,a,60.0,140.0,23.3,,,23.3,,,23.3,SMU 100708,35.1500659,-106.2672761
77,1038,42db2ea4-bfd5-3240-8aca-ddd1ea7e62e6,NM-06053,35.1478664,-106.159873,Albuquerque,11N/7E-26,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/16/1980 0:00:00,,2006.0,60.9,30.0,12.7,13.27,,14.62,a,30.0,60.9,45.0,,,,,,45.0,SMU 100562,35.1478664,-106.159873
78,565,31169635-8b53-3fa7-8888-9d6a20f3afba,NM-00095,35.1400531,-108.8306497,GALLUP AMS,,,NM,COLORADO PLATEAU,,,,,,,,,,,a,268.0,341.0,25.1,,,25.1,,,25.1,SMU 100685,35.1400531,-108.8306497
79,737,51fb5881-b2d4-3c62-ac28-8c0a52a1cb29,NM-06036,35.1363574,-108.035227,Gallup,11N/11W-31,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/12/1980 0:00:00,,2361.0,41.6,36.0,10.45,10.55,,10.95,a,20.0,41.6,18.5,,,,,,18.5,SMU 100562,35.1363574,-108.035227
80,741,6d7005be-9794-3d4b-ac3e-9debf3837cac,NM-06057,35.1299681,-105.8910651,Socorro,8N/8E-11,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/17/1980 0:00:00,,1898.0,50.0,,11.9,12.7,,13.95,a,20.0,50.0,41.7,,,,,,41.7,SMU 100562,35.1299681,-105.8910651
81,739,3fe2bfdb-883a-337f-a06f-9fb5862a60e7,NM-06054,35.1200664,-106.305677,Albuquerque,10N/6E-4,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/18/1980 0:00:00,,2103.0,48.9,44.0,,11.65,,12.72,a,25.0,49.0,21.33,,,,,,21.33,SMU 100562,35.1200664,-106.305677
82,838,ed62fc0c-c973-3d2b-9fd8-3f0e66fb789d,NM-00078,35.1167592,-107.7673191,ALBUQUERQUE AMS,,,NM,COLORADO PLATEAU,,,,2030.0,,,,,,,b,80.0,220.0,30.0,,,30.0,,,30.0,SMU 100708,35.1167592,-107.7673191
83,907,a6e663ec-8c39-38f7-983d-9f5cb06c2a3a,NM-00267,35.1100548,-108.6506444,ZUNI PROSPECT,,,NM,COLORADO PLATEAU,,1/28/1974 0:00:00,,,114.9,,,,18.86,18.86,a,106.7,114.9,59.0,,,,,,59.0,SMU 1609,35.1100548,-108.6506444
84,450,78df23ca-2448-3f76-b1f5-2df5680046a6,NM-06037,35.0880585,-108.0405268,Gallup,10N/11W-19,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/12/1980 0:00:00,,2316.0,35.5,,10.07,10.18,,10.3,a,20.0,35.5,7.7,,,,,,7.7,SMU 100562,35.0880585,-108.0405268
85,1028,7d8a1280-9d41-327a-af8f-f5e7128cd94c,NM-06041,35.0802588,-107.9985255,,10N/11W-33,,NM,Basin and Range,Location based on Northing and Easting in 7.5 minute quad,1/12/1980 0:00:00,,2337.0,85.0,65.0,9.7,10.52,,11.86,a,25.0,85.0,22.3,,,,,,22.3,SMU 100562,35.0802588,-107.9985255
86,1035,fac8d23c-3684-30ee-be5d-ba0a2015258e,NM-06051,35.0775682,-106.1066709,Albuquerque,10N/8E-20,,NM,Basin and Range,Location based on Northing and Easting in 15 minute quad,1/16/1980 0:00:00,,1934.0,65.9,20.0,12.7,12.9,,14.08,a,20.0,65.9,25.7,,,,,,25.7,SMU 100562,35.0775682,-106.1066709
